,sepal_length,sepal_width,petal_length,petal_width,species,petal_area,species_first_letter
0,0.2222222222222221,0.7222222222222223,1.4,0.2,setosa,0.27999999999999997,s
1,0.16666666666666674,0.4444444444444444,1.4,0.2,setosa,0.27999999999999997,s
2,0.11111111111111116,0.5555555555555556,1.3,0.2,setosa,0.26,s
3,0.08333333333333326,0.5,1.5,0.2,setosa,0.30000000000000004,s
4,0.19444444444444442,0.7777777777777777,1.4,0.2,setosa,0.27999999999999997,s
5,0.3055555555555556,0.9444444444444442,1.7,0.4,setosa,0.68,s
6,0.08333333333333326,0.6666666666666665,1.4,0.3,setosa,0.42,s
7,0.19444444444444442,0.6666666666666665,1.5,0.2,setosa,0.30000000000000004,s
8,0.0277777777777779,0.38888888888888884,1.4,0.2,setosa,0.27999999999999997,s
9,0.16666666666666674,0.5,1.5,0.1,setosa,0.15000000000000002,s
10,0.3055555555555556,0.8333333333333335,1.5,0.2,setosa,0.30000000000000004,s
11,0.13888888888888884,0.6666666666666665,1.6,0.2,setosa,0.32000000000000006,s
12,0.13888888888888884,0.4444444444444444,1.4,0.1,setosa,0.13999999999999999,s
13,0.0,0.4444444444444444,1.1,0.1,setosa,0.11000000000000001,s
14,0.4166666666666665,1.0,1.2,0.2,setosa,0.24,s
16,0.3055555555555556,0.9444444444444442,1.3,0.4,setosa,0.52,s
17,0.2222222222222221,0.7222222222222223,1.4,0.3,setosa,0.42,s
18,0.38888888888888884,0.8888888888888888,1.7,0.3,setosa,0.51,s
19,0.2222222222222221,0.8888888888888888,1.5,0.3,setosa,0.44999999999999996,s
20,0.3055555555555556,0.6666666666666665,1.7,0.2,setosa,0.34,s
21,0.2222222222222221,0.8333333333333335,1.5,0.4,setosa,0.6000000000000001,s
22,0.08333333333333326,0.7777777777777777,1.0,0.2,setosa,0.2,s
23,0.2222222222222221,0.6111111111111109,1.7,0.5,setosa,0.85,s
24,0.13888888888888884,0.6666666666666665,1.9,0.2,setosa,0.38,s
25,0.19444444444444442,0.4444444444444444,1.6,0.2,setosa,0.32000000000000006,s
26,0.19444444444444442,0.6666666666666665,1.6,0.4,setosa,0.6400000000000001,s
27,0.25,0.7222222222222223,1.5,0.2,setosa,0.30000000000000004,s
28,0.25,0.6666666666666665,1.4,0.2,setosa,0.27999999999999997,s
29,0.11111111111111116,0.5555555555555556,1.6,0.2,setosa,0.32000000000000006,s
30,0.13888888888888884,0.5,1.6,0.2,setosa,0.32000000000000006,s
31,0.3055555555555556,0.6666666666666665,1.5,0.4,setosa,0.6000000000000001,s
34,0.16666666666666674,0.5,1.5,0.2,setosa,0.30000000000000004,s
35,0.19444444444444442,0.5555555555555556,1.2,0.2,setosa,0.24,s
36,0.33333333333333326,0.7222222222222223,1.3,0.2,setosa,0.26,s
